sstart_time,bat_landing_to_food,habit,rat_period_start,rat_period_end,seconds_after_rat_arrival,risk,reward,month,sunset_time,hours_after_sunset,season,time,month,hours_after_sunset,bat_landing_number,food_availability,rat_minutes,rat_arrival_number,csv_row_index,sort_date
30/12/2017 18:37,16,rat,30/12/2017 18:35,30/12/2017 18:38,108,1,0,0,30/12/2017 16:45,1.870833333,Winter,30/12/2017 18:15,0,1.5,36,4,3.283333333,1,2,30/12/2017
30/12/2017 19:51,NaN,fast,30/12/2017 19:50,30/12/2017 19:55,17,0,1,0,30/12/2017 16:45,3.100833333,Winter,30/12/2017 19:45,0,3,37,3.067911715,5,1,3,30/12/2017
30/12/2017 19:51,4,fast,30/12/2017 19:50,30/12/2017 19:55,41,0,1,0,30/12/2017 16:45,3.1075,Winter,30/12/2017 19:45,0,3,37,3.067911715,5,1,4,30/12/2017
30/12/2017 19:52,10,rat,30/12/2017 19:50,30/12/2017 19:55,111,1,0,0,30/12/2017 16:45,3.126944444,Winter,30/12/2017 19:45,0,3,37,3.067911715,5,1,5,30/12/2017
30/12/2017 19:54,15,rat,30/12/2017 19:50,30/12/2017 19:55,194,1,0,0,30/12/2017 16:45,3.15,Winter,30/12/2017 19:45,0,3,37,3.067911715,5,1,6,30/12/2017
30/12/2017 19:54,24,rat,30/12/2017 19:50,30/12/2017 19:55,215,1,0,0,30/12/2017 16:45,3.155833333,Winter,30/12/2017 19:45,0,3,37,3.067911715,5,1,7,30/12/2017
30/12/2017 19:54,13,rat,30/12/2017 19:50,30/12/2017 19:55,253,1,0,0,30/12/2017 16:45,3.166388889,Winter,30/12/2017 19:45,0,3,37,3.067911715,5,1,8,30/12/2017
26/12/2017 21:24,15,rat,26/12/2017 21:22,26/12/2017 21:27,88,1,0,0,26/12/2017 16:43,4.684444444,Winter,26/12/2017 21:13,0,4.5,53,2.561403509,4.866666667,1,9,26/12/2017
26/12/2017 21:24,6,pick,26/12/2017 21:22,26/12/2017 21:27,113,0,1,0,26/12/2017 16:43,4.691388889,Winter,26/12/2017 21:13,0,4.5,53,2.561403509,4.866666667,1,10,26/12/2017
26/12/2017 21:24,3,fast,26/12/2017 21:22,26/12/2017 21:27,121,0,1,0,26/12/2017 16:43,4.693611111,Winter,26/12/2017 21:13,0,4.5,53,2.561403509,4.866666667,1,11,26/12/2017
26/12/2017 21:24,5,pick,26/12/2017 21:22,26/12/2017 21:27,128,0,1,0,26/12/2017 16:43,4.695555556,Winter,26/12/2017 21:13,0,4.5,53,2.561403509,4.866666667,1,12,26/12/2017
26/12/2017 21:25,6,pick,26/12/2017 21:22,26/12/2017 21:27,153,0,1,0,26/12/2017 16:43,4.7025,Winter,26/12/2017 21:13,0,4.5,53,2.561403509,4.866666667,1,13,26/12/2017
26/12/2017 21:26,10,rat,26/12/2017 21:22,26/12/2017 21:27,208,1,0,0,26/12/2017 16:43,4.717777778,Winter,26/12/2017 21:13,0,4.5,53,2.561403509,4.866666667,1,14,26/12/2017
26/12/2017 21:26,1,bat_fight,26/12/2017 21:22,26/12/2017 21:27,216,1,0,0,26/12/2017 16:43,4.72,Winter,26/12/2017 21:13,0,4.5,53,2.561403509,4.866666667,1,15,26/12/2017
27/12/2017 01:35,2,rat_and_no_food,27/12/2017 01:34,27/12/2017 01:41,37,1,0,0,26/12/2017 16:43,8.8725,Winter,27/12/2017 01:13,0,8.5,16,0,6.683333333,1,16,27/12/2017
26/12/2017 20:57,5,nan,26/12/2017 20:53,26/12/2017 20:58,199,0,0,0,26/12/2017 16:43,4.2375,Winter,26/12/2017 20:43,0,4,51,2.968873797,1.283333333,2,17,26/12/2017
26/12/2017 20:57,1,nan,26/12/2017 20:53,26/12/2017 20:58,239,0,0,0,26/12/2017 16:43,4.248611111,Winter,26/12/2017 20:43,0,4,51,2.968873797,1.283333333,2,18,26/12/2017
28/12/2017 19:36,1,fast,28/12/2017 19:35,28/12/2017 19:46,14,0,1,0,28/12/2017 16:44,2.868888889,Winter,28/12/2017 19:14,0,2.5,23,3.543859649,8.1,1,19,28/12/2017
28/12/2017 19:36,2,rat,28/12/2017 19:35,28/12/2017 19:46,40,1,0,0,28/12/2017 16:44,2.876111111,Winter,28/12/2017 19:14,0,2.5,23,3.543859649,8.1,1,20,28/12/2017
28/12/2017 19:37,26,rat,28/12/2017 19:35,28/12/2017 19:46,68,1,0,0,28/12/2017 16:44,2.883888889,Winter,28/12/2017 19:14,0,2.5,23,3.543859649,8.1,1,21,28/12/2017
